id;id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
1;publicize jealously smog;per polished depend;2025-03-29;5539.47
2;as cope below;cutlet cheerfully;2025-03-29;12549
3;spellcheck;astride since;2025-03-29;28813.85
4;waterlogged metabolite yum;athwart;2025-03-29;8764.17
5;around quietly;forenenst disgorge mundane;2025-03-29;31009.42
6;supposing worthy;portly um;2025-03-29;1913.96
7;cloudy;afraid;2025-03-29;9101.68
8;yet debit finished;although;2025-03-29;25360.34
9;alligator ew;peter huzzah airline;2025-03-29;18858.9
10;mmm unnaturally blindly;up ack;2025-03-29;28874.03
