id;nom_conversora;din_instante;val_modalidadecontratual;val_modalidadeemergencial;val_modalidadeoportunidade;val_modalidadeteste;val_modalidadeexcepcional
1;zowie decisive venture;2025-03-29;30761.68;26168.51;7068.03;4543.2;31010.26
2;as yuck courageously;2025-03-30;26905.06;3590.9;24697.11;28166.55;6692.64
3;lest powerful pluck;2025-03-29;16793.68;18884.18;6717;14189.01;16526.22
4;oddly obnoxiously;2025-03-29;20955.88;29536.32;3104.89;13077.56;17986.69
5;gazebo regarding;2025-03-29;6074.8;6797.97;15493.07;22010.16;19296.14
6;ameliorate;2025-03-29;21988.86;12487.53;20273.99;1767.7;4516.91
7;drat carefully trustworthy;2025-03-29;12736.92;14471.32;9328.23;11514.05;30963.79
8;duffel anti;2025-03-29;18871.18;9983.63;15328.78;21678.95;25555.17
9;yieldingly;2025-03-29;10304.03;26804.26;22115.6;18627.87;13956.02
10;late;2025-03-29;16985.01;4154.15;15871.21;20659.4;22357.62
