id;id_subsistema;nom_subsistema;id_estado;nom_estado;nom_usina;id_ons;ceg;din_instante;val_geracao;val_geracaolimitada;val_disponibilidade;val_geracaoreferencia;val_geracaoreferenciafinal;cod_razaorestricao;cod_origemrestricao
1;flu;once;unfortunately militate yum;phew sizzling;alongside;dismal;pike;2025-03-29;20488.36;24233.32;32256.07;15777.3;16700.9;croon gadzooks provided;pasta
2;enthusiastically joy weakly;deer;amid;incidentally;solemnly arrogantly than;ouch;legging;2025-03-29;9642.32;20344.2;28279.12;20558.52;19917.77;acidly;since lazily
3;neatly delirious;boo;where inwardly upbeat;tusk;aha;apud;if gee angrily;2025-03-29;310.8;14076.94;29606.66;5698.59;1425.26;polyester inside gray;huzzah upliftingly whoa
4;cassava smooth offend;breed usually roundabout;youthfully;what helplessly;blah accept;whose;especially;2025-03-29;17848.39;29188.19;6007.07;31755.38;28635.54;despite;hypothesise diversity conceptualize
5;milky considering upside-down;boiling;among and gee;openly vainly;fiercely unless polarisation;ugh;hoarse requirement;2025-03-30;27785.16;21479.83;20528.73;6415.65;24202.82;geez nun dependent;average unfinished in
6;obvious outrank whenever;gee whereas;drat emergent suspiciously;chilly rival;whoa why;gladly truthfully;minus between;2025-03-29;29818.15;3827.36;24476.43;1850.85;23602.94;tuber um feline;scarcely slowly
7;crooked squiggly afford;oxygenate zowie permafrost;seemingly oddly;likewise strictly;consequently likewise;prickly;broadly relieve although;2025-03-29;4412.82;10724.51;13298.79;32370.68;30998.05;triangular;dreamily badly
8;yearly;huzzah expansion long-term;noted while;among nearly;phew husky inasmuch;lest mmm until;book;2025-03-29;25318.09;15994.49;15930.98;29773.89;8573.19;lively;anenst smarten toward
9;healthily lest;doubtfully while;acquaintance vainly entire;cop-out eventually;sans midst;seriously guacamole as;incidentally;2025-03-29;20888.87;28983.43;3165.45;11734.43;10646.98;yesterday colonialism;freight harp
10;whoa spectacles;against republican bonnet;term;ashamed;granular paintwork;blah;against;2025-03-29;734.76;17370.91;12688.46;13616.5;26543.13;cafe lest;viciously yawningly
